0,1,2,3,4,5,6,7
4 Bedrm Hse & 1B's Qtrs Selling,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,610,000",17 hours,,
Exe 4 Bedroom BQ at Eastlegon For Sale,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,035,000",17 hours,,
5 bedroom house for sale at west trassaco,"Beds: 5, Baths: 6",MEMBER,"Accra, Houses","GH₵ 5,749,250",17 hours,,
Swimming pool 4bed House @Airport light,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 3,272,500",17 hours,,
4 unit story building at Abuakwa Sepaase kumasi,"Beds: 10+, Baths: 10+",MEMBER,"Kumasi, Houses","GH₵ 700,000",17 hours,,
Exec 4 B/r Hus Semi Detach 1 Bqs At East Legon for sale,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,204,000",17 hours,,
EXEC 4 B/R HUS SWIMMING POOL AT CANTONMENTS,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 3,135,000",17 hours,,
Executive 3 Bedroom House for sale at Abokobi,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 340,000",17 hours,,
4 Bedroom House For Sale Ashongman Estates,"Beds: 4, Baths: 5","Accra, Houses","GH₵ 760,000",,,,
Uncompleted building for sale @ Opoku ware school,"Beds: 3, Baths: 2","Kumasi, Houses","GH₵ 95,000",,,,
Executive 4 Bedroom House For Sale At Haatso,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,458,000",18 hours,,
Buy 4 Bedroom House At East Legon Hills,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,740,000",,,
4 Bedroom Executive Hse + Boys Qtrs For Sale at Kasoa,"Beds: 4, Baths: 4","Central, Houses","GH₵ 590,000",,,,
2bedroom House For Sale At Agbogba,"Beds: 2, Baths: 3",MEMBER,"Accra, Houses","GH₵ 420,000",18 hours,,
FOUR (4) BEDROOMS B/Q FOR SALE TECHIMAN TUOBODOM,"Beds: 4, Baths: 1",MEMBER,"Brong-Ahafo, Houses","GH₵ 50,000",,,
For Sale 3 bedrooms house @spintex batsonaa,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 580,000",,,
Executive 4 House With Boys Quarters For Sale At East Legon,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,539,000",19 hours,,
-TWIN HOUSES FOR SALE-Offer of the Decade at Kasoa Ofaakor,"Beds: 10+, Baths: 10+",MEMBER,"Accra, Houses","GH₵ 600,000",19 hours,,
Executive 4 Bedroom House For Sale At Adenta,"Beds: 5, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,451,000",19 hours,,
FOUR (4) BEDROOMS HOUSE FOR SALE - TECHIMAN,"Beds: 4, Baths: 2",MEMBER,"Brong-Ahafo, Houses","GH₵ 150,000",,,
Newly built four bedroom house for sale at Dome..,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,100,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
3 bedroom house at Lakeside,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 395,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
New 3 Bedroom House for sale at Abokobi,"Beds: 3, Baths: 2",MEMBER,"Accra, Houses","GH₵ 280,000",19 hours,,
9bedroom house with 3bedroom boys quarters for sale at Dome,"Beds: 9, Baths: 9",MEMBER,"Accra, Houses","GH₵ 1,600,000",19 hours,,
Executive 4bedroom hse for sale at Lakeside-Estates,"Beds: 4, Baths: 2",MEMBER,"Accra, Houses","GH₵ 1,150,000",19 hours,,
5 bedroom house for sale at East Legon,"Beds: 5, Baths: 2",MEMBER,"Accra, Houses","GH₵ 3,737,500",19 hours,,
SIX (6) BEDROOMS HOUSE FOR SALE - TECHIMAN,"Beds: 6, Baths: 2",MEMBER,"Brong-Ahafo, Houses","GH₵ 90,000",,,
Property for sale @ Fetteh Kakraba to Nkwantana road,"Beds: 4, Baths: 4","Central, Houses","GH₵ 300,000",20 hours,,,
